ferrGene	lncRNA	cor	pvalue	Regulation
EPAS1	SNHG10	-0.409737492760046	3.83726311834466e-14	negative
TAZ	SNHG10	0.550604110295887	2.74685774930316e-26	postive
LONP1	SNHG10	0.445766464465957	9.80359296771711e-17	postive
GPX4	LINC01569	0.445723006038317	9.87874982078924e-17	postive
CISD1	LINC01569	0.465225590298366	2.86877944526585e-18	postive
ISCU	LINC01569	0.48818105856666	3.29664104454041e-20	postive
NOX1	LINC01569	0.43794212670297	3.81024839304499e-16	postive
PHKG2	LINC01569	0.442664728836938	1.68624573260436e-16	postive
MAP1LC3A	LINC01569	0.450960917584545	3.90405816182869e-17	postive
SOCS1	LINC01569	0.423241097847956	4.44997621707038e-15	postive
TAZ	LINC01569	0.493459329331056	1.12479065409411e-20	postive
GPX2	AC092969.1	0.462316275027273	4.93477818672286e-18	postive
KLHL24	AC092969.1	0.452429766187099	3.00055265003809e-17	postive
MYB	AC093627.4	0.582473120307597	6.45397896335318e-30	postive
YY1AP1	AC093627.4	0.412757262855029	2.3901104347884e-14	postive
ATF4	AL021707.8	0.52653382353436	8.56712531254701e-24	postive
PHKG2	AL021707.8	0.497587463126587	4.78800134260035e-21	postive
EGLN2	AL021707.8	0.400895760239742	1.493545095956e-13	postive
TAZ	AL021707.8	0.566886613230084	4.30384533242958e-28	postive
PHKG2	AC061992.2	0.418291933550501	9.91225688469515e-15	postive
BID	AC061992.2	0.437363697121988	4.20666722071751e-16	postive
GPX4	AP001160.3	0.414639180298796	1.77514984946834e-14	postive
PRDX6	AP001160.3	0.471196205520067	9.27168832605647e-19	postive
AIFM2	AP001160.3	0.41259658533991	2.45137682071182e-14	postive
CHMP6	AP001160.3	0.430183806280875	1.41489782708693e-15	postive
PCK2	AP001160.3	0.417794386038806	1.07355359985423e-14	postive
PHKG2	AP001160.3	0.577184096161188	2.75253012642488e-29	postive
PEBP1	AP001160.3	0.450534586428533	4.21301427654414e-17	postive
ANO6	AP001160.3	-0.447204009557515	7.61036245785456e-17	negative
EGLN2	AP001160.3	0.422412907077892	5.09283447233588e-15	postive
TAZ	AP001160.3	0.437896750310358	3.83997423237518e-16	postive
GPX4	AC009065.4	0.485384701017229	5.78397794684271e-20	postive
MUC1	AC009065.4	0.421336400173278	6.06585174627725e-15	postive
CISD1	AC009065.4	0.458756914520575	9.51555166427996e-18	postive
ATF4	AC009065.4	0.416711427027538	1.27657821861226e-14	postive
HIF1A	AC009065.4	-0.412119630811388	2.6424351906233e-14	negative
SLC2A8	AC009065.4	0.468674442156478	1.4980106331897e-18	postive
ACSF2	AC009065.4	0.404113365682415	9.15080469045432e-14	postive
NOX1	AC009065.4	0.510894478802461	2.81628622523145e-22	postive
HRAS	AC009065.4	0.409532286462218	3.96203381177881e-14	postive
PHKG2	AC009065.4	0.756866692502361	1.39784744690842e-59	postive
PEBP1	AC009065.4	0.40840550815288	4.72121996261184e-14	postive
ANO6	AC009065.4	-0.436151300876325	5.17332184419522e-16	negative
EGLN2	AC009065.4	0.626615210203937	1.18104491068738e-35	postive
TAZ	AC009065.4	0.659845667238292	1.27443186439602e-40	postive
LONP1	AC009065.4	0.409026678926553	4.28664354335403e-14	postive
ATF4	AC116913.1	0.473213577083572	6.29844739950207e-19	postive
SLC2A8	AC116913.1	0.421893017551654	5.54197065685439e-15	postive
GABPB1	AC116913.1	0.416071620522694	1.41371556333866e-14	postive
NOX1	AC116913.1	0.45890222298257	9.26525328437176e-18	postive
PHKG2	AC116913.1	0.540173842162154	3.50089627909762e-25	postive
TAZ	AC116913.1	0.546204239934829	8.12499244630652e-26	postive
CISD1	AC005840.4	0.436819052789183	4.61676199903392e-16	postive
ISCU	AC005840.4	0.456989799687004	1.31455501267004e-17	postive
NOX1	AC005840.4	0.405507464980565	7.38859243376904e-14	postive
SOCS1	AC005840.4	0.496580102905869	5.90378805752449e-21	postive
HELLS	DCST1-AS1	0.426964186805356	2.41501691435334e-15	postive
STMN1	DCST1-AS1	0.469298661921289	1.33076104008268e-18	postive
NOX1	DCST1-AS1	0.430323753317431	1.38221657531985e-15	postive
PHKG2	DCST1-AS1	0.455268677771917	1.79759122033708e-17	postive
MYB	DCST1-AS1	0.442477163098771	1.74215609005624e-16	postive
TAZ	DCST1-AS1	0.431477880924503	1.13946070819721e-15	postive
TAZ	AC009171.2	0.437369111006896	4.20277572287701e-16	postive
HMOX1	DDX59-AS1	0.544033989611534	1.37909227093749e-25	postive
YWHAE	DDX59-AS1	0.412980743021247	2.30738293879536e-14	postive
PHKG2	AC018695.6	0.416750117292987	1.26871659180972e-14	postive
TUBE1	OCIAD1-AS1	0.400468255954753	1.59335985359169e-13	postive
TUBE1	AL136040.1	0.419817918861752	7.75423339537949e-15	postive
BID	AL136040.1	0.442823404459611	1.6403246286053e-16	postive
KLHL24	CKMT2-AS1	0.412229426214202	2.59720185080135e-14	postive
GABPB1	CKMT2-AS1	0.423046637600386	4.59337545020937e-15	postive
ALOX5	LINC02345	0.50801446307213	5.25499795490393e-22	postive
CYBB	LINC02345	0.449613615837758	4.96464257343679e-17	postive
ALOX15B	ZNF474-AS1	0.535119036372358	1.16455148899695e-24	postive
ATF4	SNHG15	0.521563346372318	2.65118954058031e-23	postive
MTOR	SNHG15	-0.448730145770267	5.80868208385705e-17	negative
SELENOS	SNHG15	0.442492079925235	1.7376438455844e-16	postive
RPL8	SNHG15	0.612633242045029	9.72037341113657e-34	postive
SLC2A8	SNHG15	0.475125546399208	4.35566351020118e-19	postive
HRAS	SNHG15	0.4497147755199	4.87604222031945e-17	postive
PHKG2	SNHG15	0.547085046072697	6.54775032888137e-26	postive
EPAS1	SNHG15	-0.41854413808245	9.51888602994124e-15	negative
ANO6	SNHG15	-0.455161859322897	1.83273985092056e-17	negative
EGLN2	SNHG15	0.511531872270541	2.45117980774611e-22	postive
TAZ	SNHG15	0.525724602720943	1.03100253271317e-23	postive
EIF2S1	MIR31HG	0.511072294908058	2.70936146605979e-22	postive
PANX1	MIR31HG	0.422567429423383	4.96635704401933e-15	postive
GPX4	TRIM52-AS1	0.531729424446908	2.57807318296717e-24	postive
CISD1	TRIM52-AS1	0.492185012084444	1.46069464334564e-20	postive
ATF4	TRIM52-AS1	0.431424498497869	1.14970390167994e-15	postive
ISCU	TRIM52-AS1	0.513947237364444	1.44448415866992e-22	postive
NNMT	TRIM52-AS1	0.469528675921177	1.273878758691e-18	postive
DUOX1	TRIM52-AS1	-0.441030443696003	2.23902755958898e-16	negative
PHKG2	TRIM52-AS1	0.467734946178387	1.7893692634679e-18	postive
EGLN2	TRIM52-AS1	0.484705448151341	6.62516036530675e-20	postive
TAZ	TRIM52-AS1	0.430939017274915	1.24710012775797e-15	postive
MTOR	AC018521.6	0.411439603543231	2.94026654456484e-14	postive
SETD1B	AC018521.6	0.44219408639684	1.82999679143934e-16	postive
SP1	AC018521.6	0.426308107344337	2.69112100958238e-15	postive
BECN1	AC018521.6	0.424515374154835	3.61307081893429e-15	postive
GPX4	ZFAS1	0.40990109184923	3.74055291645415e-14	postive
ATF4	ZFAS1	0.470879789177171	9.84910300262491e-19	postive
RPL8	ZFAS1	0.673080097770872	8.83601370532907e-43	postive
PHKG2	ZFAS1	0.430143291812294	1.42449956066073e-15	postive
EPAS1	ZFAS1	-0.401584883980757	1.34537767331778e-13	negative
PLIN4	AC091563.1	0.752793202939784	1.30676535580237e-58	postive
GOT1	AC091563.1	0.456732666472036	1.37763018401452e-17	postive
ZEB1	AC091563.1	0.469770719412072	1.21660180435186e-18	postive
PRKAA2	AC091563.1	0.717221304595292	7.18036376803311e-51	postive
NOS2	RHOXF1-AS1	0.527121348277834	7.48701200693168e-24	postive
NOX1	RHOXF1-AS1	0.413094036163971	2.26652160578402e-14	postive
FADS2	LNCTAM34A	0.410089239307673	3.63227811894706e-14	postive
KEAP1	LNCTAM34A	0.422526818149623	4.99929634555152e-15	postive
ATG4D	LNCTAM34A	0.432620398476946	9.40482628964458e-16	postive
PANX1	LNCTAM34A	-0.406280963113629	6.55890470723585e-14	negative
ENPP2	AC022706.1	0.599984088610117	4.36562814543899e-32	postive
ALOX5	AC022706.1	0.434060888009356	7.37590806999014e-16	postive
IFNG	AC022706.1	0.40501385884355	7.97082723177999e-14	postive
PHKG2	STARD7-AS1	0.491359621468684	1.72907604768117e-20	postive
TAZ	STARD7-AS1	0.484721636620645	6.60377867073301e-20	postive
HELLS	AL359076.1	0.428369140664084	1.9138178816768e-15	postive
HMGB1	AL359076.1	0.419467112363097	8.20541590886287e-15	postive
HELLS	AC011461.1	0.465455575831357	2.74776131003537e-18	postive
TUBE1	AC011461.1	0.462777665282062	4.52958138558676e-18	postive
ATG4D	AC011461.1	0.476920303979769	3.07453346037052e-19	postive
GPX4	MIR762HG	0.402177934410446	1.22945248899623e-13	postive
ATF4	MIR762HG	0.426966930847998	2.41392254540998e-15	postive
ISCU	MIR762HG	0.407793790151737	5.1912019307555e-14	postive
TUBE1	MIR762HG	0.461937790834703	5.29357562328157e-18	postive
ELAVL1	MIR762HG	0.474744246504925	4.68898282404161e-19	postive
STMN1	MIR762HG	0.417416180626855	1.1405784047973e-14	postive
GABPB1	MIR762HG	0.463479484507645	3.97512419330742e-18	postive
NOX1	MIR762HG	0.416061248938584	1.41605337827929e-14	postive
PHKG2	MIR762HG	0.613487157768057	7.47204766206723e-34	postive
ATG4D	MIR762HG	0.460821058305402	6.50827415823666e-18	postive
BID	MIR762HG	0.432826214465465	9.08453489207602e-16	postive
PEBP1	MIR762HG	0.423813744129723	4.05269262147611e-15	postive
TAZ	MIR762HG	0.58706745945677	1.79166349704537e-30	postive
TFRC	LINC01932	0.439187067006942	3.07722696701154e-16	postive
PLIN4	AC005393.1	0.681594569274588	3.13966867550583e-44	postive
GOT1	AC005393.1	0.562691803804305	1.28356151354202e-27	postive
PRKAA2	AC005393.1	0.506036387921948	8.03802246120205e-22	postive
PLIN4	AC137932.2	0.652984066583824	1.52121963439396e-39	postive
PRKAA2	AC137932.2	0.466340509799586	2.32714757621713e-18	postive
HELLS	THAP9-AS1	0.472929668381732	6.65170713267918e-19	postive
TUBE1	THAP9-AS1	0.480858993154721	1.42122911296962e-19	postive
HMGB1	THAP9-AS1	0.417482302405573	1.12857193249809e-14	postive
ELAVL1	THAP9-AS1	0.457665338570384	1.16204591217168e-17	postive
STMN1	THAP9-AS1	0.469421407702797	1.3001023903981e-18	postive
GABPB1	THAP9-AS1	0.462577286670019	4.70137442234524e-18	postive
EMC2	THAP9-AS1	0.440120978513938	2.61998347812511e-16	postive
ATG3	THAP9-AS1	0.43928713811347	3.02471191321055e-16	postive
YY1AP1	THAP9-AS1	0.414629223893963	1.77795434066948e-14	postive
MYB	AL583785.1	0.412004121623597	2.69085473837538e-14	postive
RPL8	LINC02878	0.440794536694475	2.3322745874805e-16	postive
NOX1	LINC02878	0.430489416604798	1.3444854219191e-15	postive
PHKG2	LINC02878	0.451128410107662	3.78886205259253e-17	postive
EGLN2	LINC02878	0.44933927779099	5.21295103056824e-17	postive
TAZ	LINC02878	0.422977301628439	4.64559227695296e-15	postive
PROM2	AC105219.1	0.40941863509692	4.03283604594117e-14	postive
MAPK8	AC115618.2	0.421471928939407	5.93399373088579e-15	postive
ATM	AC115618.2	0.425315012961382	3.16885186681352e-15	postive
SIRT1	AC115618.2	0.440375523273281	2.50737971378499e-16	postive
HELLS	PSMA3-AS1	0.459227043835772	8.72888902680032e-18	postive
ZNF419	PSMA3-AS1	0.430111668942461	1.43203838237428e-15	postive
TUBE1	PSMA3-AS1	0.450881061663826	3.96018413140297e-17	postive
HMGB1	PSMA3-AS1	0.473874848535871	5.54558756286313e-19	postive
GABPB1	PSMA3-AS1	0.411328962749249	2.99173546688851e-14	postive
EMC2	PSMA3-AS1	0.408837656788711	4.414565496827e-14	postive
EGLN2	AC108047.1	0.418014575793543	1.03632485063616e-14	postive
GPX4	AC027644.3	0.467758535431128	1.78141409676355e-18	postive
HSPB1	AC027644.3	0.516562060916656	8.10987734545005e-23	postive
PRDX6	AC027644.3	0.45625592136278	1.50253620792431e-17	postive
RPL8	AC027644.3	0.477996990238955	2.49230181249142e-19	postive
SLC2A8	AC027644.3	0.404585821491145	8.51187385023726e-14	postive
PHKG2	AC027644.3	0.55765228975593	4.67401042885423e-27	postive
EGLN2	AC027644.3	0.745097679640436	7.93215053985913e-57	postive
TAZ	AC027644.3	0.505605444734884	8.81458675642453e-22	postive
LONP1	AC027644.3	0.474727794373334	4.70391549212897e-19	postive
CAV1	LINC01322	0.425343491994114	3.15406044924243e-15	postive
PANX1	LINC01322	0.448277071129572	6.29464065712805e-17	postive
PHKG2	AC004854.2	0.415647155575302	1.51254930134268e-14	postive
GPX4	ILRUN-AS1	0.505104465789718	9.81053426243704e-22	postive
PRDX6	ILRUN-AS1	0.400656911819729	1.54853277832829e-13	postive
ZNF419	ILRUN-AS1	0.415699467052985	1.50001279577879e-14	postive
RPL8	ILRUN-AS1	0.445029327142621	1.11578093909226e-16	postive
SLC2A8	ILRUN-AS1	0.425132375342811	3.26533867707119e-15	postive
PHKG2	ILRUN-AS1	0.66693795550011	9.1637667725028e-42	postive
GABARAPL2	ILRUN-AS1	0.404154034669341	9.09400933516169e-14	postive
PEBP1	ILRUN-AS1	0.419299889106712	8.42943901689033e-15	postive
ANO6	ILRUN-AS1	-0.421045047031008	6.35910525343174e-15	negative
EGLN2	ILRUN-AS1	0.585991449395401	2.42326744256842e-30	postive
TAZ	ILRUN-AS1	0.538129758618769	5.70583499408279e-25	postive
LONP1	ILRUN-AS1	0.444689009826867	1.1843394001441e-16	postive
MAPK3	CHROMR	-0.403791522596346	9.61267219609347e-14	negative
NOX1	AC009133.1	0.43098246382476	1.23806430521836e-15	postive
PHKG2	AC009133.1	0.443543687086676	1.44683673279651e-16	postive
TAZ	AC009133.1	0.400940709424183	1.48341252249582e-13	postive
FANCD2	PPP1R26-AS1	0.434705171747613	6.61378955034957e-16	postive
HELLS	PPP1R26-AS1	0.542946977327902	1.79495113946785e-25	postive
FADS2	PPP1R26-AS1	0.416201773391252	1.38469768072995e-14	postive
ISCU	PPP1R26-AS1	0.427026993340168	2.39009001196491e-15	postive
HMGB1	PPP1R26-AS1	0.425162240646091	3.24936638372842e-15	postive
STMN1	PPP1R26-AS1	0.412823349101648	2.36534902689992e-14	postive
CARS1	PPP1R26-AS1	0.425244869291989	3.20557349926649e-15	postive
ATG4D	PPP1R26-AS1	0.406418084079896	6.42165389741464e-14	postive
SOCS1	PPP1R26-AS1	0.433205098640314	8.52263935411428e-16	postive
MYB	PPP1R26-AS1	0.527260133968746	7.25214815698403e-24	postive
MAPK8	PPP1R26-AS1	0.456414899656328	1.45969593063713e-17	postive
ISCU	AC104825.1	0.528075255051259	6.01231129189934e-24	postive
TAZ	LINC02604	0.40235425929292	1.19691116026764e-13	postive
HSPB1	AC003101.2	0.44197021694531	1.90252881713961e-16	postive
CHMP6	AC003101.2	0.499821802280018	3.00116622691106e-21	postive
SLC2A8	AC003101.2	0.401532309125646	1.35615588802865e-13	postive
PHKG2	AC003101.2	0.556823135880924	5.7693087124505e-27	postive
EGLN2	AC003101.2	0.625674182778551	1.6004259505712e-35	postive
SLC40A1	AC093010.2	0.447109896970934	7.73786896086556e-17	postive
ENPP2	AC093010.2	0.469448925669728	1.29332497440753e-18	postive
ANGPTL7	AC093010.2	0.403085419493054	1.07073096635424e-13	postive
HERPUD1	AC093010.2	0.459674310525899	8.03993859681124e-18	postive
NNMT	AC093010.2	0.450231104868419	4.44744069419724e-17	postive
PLIN4	AC093010.2	0.462629828528495	4.65571868428632e-18	postive
HIC1	AC093010.2	0.622320290295869	4.68747396962727e-35	postive
NOX4	AC093010.2	0.532929925225352	1.94761307278965e-24	postive
GABARAPL1	AC093010.2	0.44527720254004	1.06831180775313e-16	postive
WIPI1	AC093010.2	0.572298817159834	1.02678827961294e-28	postive
ZEB1	AC093010.2	0.787401606436608	1.59766584129476e-67	postive
PRKAA2	AC093010.2	0.524418880003209	1.38859487229421e-23	postive
ENPP2	AC104083.1	0.483711424339713	8.07712776440286e-20	postive
RGS4	AC104083.1	0.427430422941351	2.2358812107091e-15	postive
HIC1	AC104083.1	0.65868898198004	1.94459741246539e-40	postive
NOX4	AC104083.1	0.595882465922814	1.44616653163961e-31	postive
ZEB1	AC104083.1	0.679851186241081	6.27550168844436e-44	postive
TLR4	AC104083.1	0.492524281380425	1.36267164926124e-20	postive
ZNF419	AC005674.1	0.405597768032651	7.28667303245663e-14	postive
MYB	LINC02613	0.635551283247601	6.25516352908899e-37	postive
GPX4	AC026979.2	0.462701630556185	4.59403061589912e-18	postive
RB1	AC026979.2	-0.400042647192003	1.69920108648971e-13	negative
ATF4	AC026979.2	0.435542904979769	5.73736995163009e-16	postive
PRDX6	AC026979.2	0.4318145495138	1.07689036973188e-15	postive
DDIT3	AC026979.2	0.405820421152735	7.04121822913127e-14	postive
RPL8	AC026979.2	0.545516121578887	9.6129521213758e-26	postive
SLC2A8	AC026979.2	0.508453103075966	4.78056785792288e-22	postive
HRAS	AC026979.2	0.409297053199838	4.10994957651387e-14	postive
PHKG2	AC026979.2	0.64570799086804	1.96775228406148e-38	postive
ANO6	AC026979.2	-0.422774097338856	4.80199741815311e-15	negative
EGLN2	AC026979.2	0.727942050949418	4.49709441041359e-53	postive
TAZ	AC026979.2	0.540340153468933	3.36399483020093e-25	postive
LONP1	AC026979.2	0.524747481596395	1.2884994531059e-23	postive
NOX1	AL031123.2	0.405099151298093	7.86710855207978e-14	postive
DRD4	AL022328.1	0.444257230624632	1.27729651679129e-16	postive
MYB	AL022328.1	0.514148564599483	1.38193336399122e-22	postive
HSF1	PVT1	0.481230074669847	1.32089394953697e-19	postive
ATF4	PVT1	0.522674417392322	2.06287590820504e-23	postive
PRDX6	PVT1	0.498978894229827	3.58092970403074e-21	postive
DDIT3	PVT1	0.405528396624644	7.36484475337766e-14	postive
RPL8	PVT1	0.606507474852065	6.2680759915306e-33	postive
EMC2	PVT1	0.415040820992381	1.66555760021247e-14	postive
PHKG2	PVT1	0.471626883355611	8.53891038961776e-19	postive
EGLN2	PVT1	0.414340977487815	1.86105405062683e-14	postive
TAZ	PVT1	0.480626713804485	1.48780942288546e-19	postive
LONP1	PVT1	0.438008704013395	3.76704201422843e-16	postive
SLC2A6	VIM-AS1	0.45462977359777	2.01812650948709e-17	postive
ACSF2	VIM-AS1	0.414385700377208	1.8479159286774e-14	postive
FH	PCCA-DT	0.423617332030847	4.18487575028701e-15	postive
AIFM2	PCCA-DT	0.485703643504459	5.42615398057082e-20	postive
ASNS	PCCA-DT	0.415441869967395	1.56274499506374e-14	postive
TUBE1	PCCA-DT	0.477680551476624	2.6511326201398e-19	postive
BID	PCCA-DT	0.569580690858658	2.11585857547802e-28	postive
PHKG2	AL590560.3	0.471095583298768	9.45160498505857e-19	postive
TAZ	AL590560.3	0.509040807182371	4.21045059251499e-22	postive
GPX4	LINC00476	0.411666146103184	2.83757066395547e-14	postive
ATF4	LINC00476	0.448134373920288	6.45579824022409e-17	postive
SLC2A8	LINC00476	0.40002522983727	1.70367579850284e-13	postive
STMN1	LINC00476	0.405258952500686	7.67632652121265e-14	postive
PHKG2	LINC00476	0.473406466450886	6.0690296801189e-19	postive
TAZ	LINC00476	0.439118379382881	3.11378919337547e-16	postive
ISCU	AC091982.3	0.421620221862861	5.79293333871895e-15	postive
PRDX6	AC091982.3	0.41095353109467	3.17304064615809e-14	postive
NOX1	AC091982.3	0.418212042068027	1.00401539331666e-14	postive
GOT1	AC091982.3	0.465695107370578	2.6270534569343e-18	postive
ISCU	AL353708.3	0.442337271076515	1.78503583151066e-16	postive
STMN1	AL353708.3	0.463363231083246	4.06212287908512e-18	postive
NOX1	AL353708.3	0.478682490389933	2.17962435910284e-19	postive
PHKG2	AL353708.3	0.476842773485198	3.12127797751487e-19	postive
ATG4D	AL353708.3	0.412912450388047	2.33236139830858e-14	postive
MYB	AL353708.3	0.455101838151585	1.85278503868205e-17	postive
TAZ	AL353708.3	0.43537713561597	5.90123520064098e-16	postive
DDIT3	AP001033.2	0.421002153089792	6.40343545691204e-15	postive
HILPDA	AP001033.2	0.494003238367029	1.00574475792089e-20	postive
GCLC	AC069148.1	0.47587944432685	3.76373191775906e-19	postive
GPX2	AC069148.1	0.458842123457344	9.36798256420335e-18	postive
DDIT3	AC069148.1	0.469179531560978	1.36119565091838e-18	postive
BID	AC069148.1	0.458216455125099	1.05061548959893e-17	postive
EGLN2	AC069148.1	0.40820707193719	4.86892233051402e-14	postive
TAZ	AC069148.1	0.406794008580508	6.05962396448628e-14	postive
GPX4	AC010503.4	0.408002968623536	5.02555790721752e-14	postive
NOX1	AC010503.4	0.440990084014501	2.25471704308694e-16	postive
ACSL4	AC010503.4	-0.447862885770518	6.77366657026615e-17	negative
PHKG2	AC010503.4	0.506544198700028	7.20907113302989e-22	postive
ATG4D	AC010503.4	0.517600618605964	6.43931787136072e-23	postive
MAP1LC3A	AC010503.4	0.417573453658458	1.11222326615837e-14	postive
PEBP1	AC010503.4	0.447275827207077	7.51445108476383e-17	postive
ANO6	AC010503.4	-0.507020881232711	6.50781324294216e-22	negative
GPX4	LINC01534	0.439512402894669	2.90969363603505e-16	postive
CISD1	LINC01534	0.439108903072117	3.11886673719992e-16	postive
ISCU	LINC01534	0.460836129992519	6.49018664342354e-18	postive
PHKG2	LINC01534	0.428473730439085	1.88088202176936e-15	postive
MAPK9	AC008393.1	0.422558416048081	4.9736492742354e-15	postive
MTOR	AC125807.2	0.424196061114515	3.80702296784554e-15	postive
LPCAT3	AC125807.2	0.529028679045091	4.82526257148416e-24	postive
GPX4	AL513477.2	0.449868310121504	4.7445269821179e-17	postive
HELLS	AL513477.2	0.453262277001568	2.58324041835055e-17	postive
ISCU	AL513477.2	0.509966932469683	3.44510849640554e-22	postive
HMGB1	AL513477.2	0.417291683495667	1.16352514650471e-14	postive
STMN1	AL513477.2	0.44127892947589	2.14476368606726e-16	postive
NOX1	AL513477.2	0.540067157583574	3.5915924504687e-25	postive
PHKG2	AL513477.2	0.414255738177095	1.88634828859467e-14	postive
ATG4D	AL513477.2	0.406867828502247	5.99091574271122e-14	postive
SOCS1	AL513477.2	0.475256442463205	4.24669918538181e-19	postive
MYB	AL513477.2	0.433363138171506	8.29846476457831e-16	postive
GPX4	AC135178.6	0.432911791825333	8.95452930887118e-16	postive
ATF4	AC135178.6	0.515545839609333	1.01555257084168e-22	postive
PRDX6	AC135178.6	0.432619476266168	9.40628605861145e-16	postive
RPL8	AC135178.6	0.466277097571511	2.35505658129958e-18	postive
PHKG2	AC135178.6	0.514811200789832	1.19431431949829e-22	postive
EGLN2	AC135178.6	0.473173890792374	6.34669593129833e-19	postive
TAZ	AC135178.6	0.495740243899148	7.02668219414501e-21	postive
STMN1	AC107032.2	0.40471061061655	8.35053344277064e-14	postive
AKR1C1	LINC01508	0.402100676905285	1.24398173643956e-13	postive
AKR1C3	LINC01508	0.48839811695298	3.15519456061939e-20	postive
NQO1	LINC01508	0.456370798719342	1.47145821330212e-17	postive
TXNRD1	LINC01508	0.611501720763711	1.37572452875676e-33	postive
SRXN1	LINC01508	0.486187165077079	4.92482551901835e-20	postive
GPX2	LINC01508	0.438463977584132	3.48419598030498e-16	postive
PHKG2	AF196972.1	0.439707828547521	2.8133944383734e-16	postive
TAZ	AF196972.1	0.466558048538526	2.2338517773377e-18	postive
HELLS	AL035587.1	0.45805772884724	1.08158531219395e-17	postive
SP1	AL035587.1	0.417652570698202	1.09822120452189e-14	postive
MYB	AL035587.1	0.410005188865916	3.6802628997059e-14	postive
MAPK8	AL035587.1	0.435190077770897	6.09165891838787e-16	postive
FADS2	AC093799.1	0.452880718412129	2.7669069888668e-17	postive
GCLC	BX293535.1	0.450550150711848	4.2013242364415e-17	postive
NFE2L2	BX293535.1	0.472265625109386	7.55577339700601e-19	postive
FADS2	BX293535.1	0.446366725595739	8.82115118244033e-17	postive
GPX2	BX293535.1	0.406901292204475	5.96002088286862e-14	postive
TFR2	BX293535.1	0.401539552792636	1.35466588538437e-13	postive
BID	BX293535.1	0.516131189905396	8.92222976531926e-23	postive
DDIT3	AC004471.1	0.458688200374994	9.63621504127164e-18	postive
HILPDA	AC004471.1	0.480980842068812	1.38748317365827e-19	postive
ASNS	LINC01589	0.442816535891565	1.64228675549145e-16	postive
EGLN2	LINC01589	0.422494489622667	5.02567052208875e-15	postive
GPX4	AC145423.1	0.440937644634788	2.27526359059269e-16	postive
ATF4	AC145423.1	0.514511028415483	1.27597315752846e-22	postive
SLC2A8	AC145423.1	0.480932248644253	1.40084555214115e-19	postive
HRAS	AC145423.1	0.451826180714133	3.34381935456179e-17	postive
PHKG2	AC145423.1	0.682009337168447	2.66084991749899e-44	postive
PEBP1	AC145423.1	0.525554982338725	1.07174181723267e-23	postive
EGLN2	AC145423.1	0.625618767698168	1.62926945885801e-35	postive
TAZ	AC145423.1	0.532740985670521	2.03565001988932e-24	postive
LONP1	AC145423.1	0.430993021191469	1.23587834097835e-15	postive
HELLS	AL079303.1	0.408461815993191	4.68011292185173e-14	postive
ATG4D	AL079303.1	0.401144732939415	1.43825962248492e-13	postive
HELLS	AC109460.2	0.430197733035104	1.41161192770149e-15	postive
TUBE1	AC109460.2	0.515738524925163	9.73206416841687e-23	postive
MAPK8	AC109460.2	0.410812348040827	3.24396745121891e-14	postive
LPIN1	AC109460.2	0.410653827630657	3.32545397208504e-14	postive
KLHL24	AL133367.1	0.456893896810021	1.33774135659923e-17	postive
